Feat_number,Find_number,L_FH_estim,LFH_accuracy,L_FrontalHeight,R_FH_estim,RFH_accuracy,R_FrontalHeight,L_FW_estim,LFW_accuracy,L_FrontalWidth,R_FW_estim,RFW_accuracy,R_FrontalWidth,OsL_estim_young,OSL_young_accuracy,OsL_estim_old,OSL_old_accuracy,OccipitalSquamousLength,OsW_estim_young,OSW_young_accuracy,OsW_estim_old,OSW_old_accuracy,OccipitalSquamousWidth,OBL_estim_young,OBL_young_accuracy,OBL_estim_old,OBL_old_accuracy,OccipitalBasilarLength,OBW_estim_young,OBW_young_accuracy,OBW_estim_old,OBW_old_accuracy,OccipitalBasilarWidth,OBML_estim_youg,OBML_young_accuracy,OBML_estim_young,OBML_old_accuracy,OccipitalBasilarMaxLength,L_OLL_estim,LOLL_accuracy,L_OccipitalLateralLength,R_OLL_estim,ROLL_accuracy,R_OccipitalLateralLength,L_OLW_estim,LOWL_accuracy,L_OccipitalLateralWidth,R_OLW_estim,ROWL_accuracy,R_OccipitalLateralWidth,L_ZL_estim,LZL_accuracy,L_ZygomaticLength,R_ZL_estim,RZL_accuracy,R_ZygomaticLength,L_ZW_estim,LZW_accuracy,L_ZygomaticWidth,R_ZW_estim,RZW_accuracy,R_ZygomaticWidth,L_ML_estim_young,LML_young_accuracy,L_ML_estim_old,LML_old_accuracy,L_MaxillaLength,R_ML_estim_young,RML_young_accuracy,R_ML_estim_old,RML_old_accuracy,R_MaxillaLength,L_MW_estim_young,LMW_young_accuracy,L_MW_estim_old,LMW_old_accuracy,L_MaxillaWidth,R_MW_estim_young,RMW_young_accuracy,R_MW_estim_old,RMW_old_accuracy,R_MaxillaWidth,L_MH_estim_young,LMH_young_accuracy,L_MH_estim_old,LMH_old_accuracy,L_MaxillaHeight,R_MH_estim_young,RMH_young_accuracy,R_MH_estim_old,RMH_old_accuracy,R_MaxillaHeight,ChinH_estim,ChinH_accuracy,MandibleChinHeight,BB_estim_old,BB_old_accuracy,MandibleBicondylarBreadth,BW_estim_young,BW_young_accuracy,BW_estim_old,BW_old_accuracy,MandibleBigonialWidth,L_RH_estim_young,LRM_young_accuracy,L_MandibleRamusHeight,R_RH_estim_young,RRH_young_accuracy,R_MandibleRamusHeight,L_MML_estim_young,LMML_young_accuracy,L_MML_estim_old,LMML_old_accuracy,L_MandibleMaxLenght,R_MML_estim_young,RMML_young_accuracy,R_MML_estim_old,RMML_old_accuracy,R_MandibleMaxLenght,ArchivalAge,AgeRange
S296,V0486,,,,,,45.99,,,,0.094454887,yes,46.96,,,,,,,,,,,-0.163498099,yes,,,11.75,-0.270321361,yes,,,13.64,-0.272941176,yes,,,14.79,,,,,,,,,,,,,,,,,,,,,,-0.489547038,yes,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.377777778,yes,10.19,,,,,,,,,,,,,,,,,,,,,,,,,0,<2
S295,V0485,0.067290553,yes,53.46,-0.008912656,yes,51.75,0.195488722,yes,49.11,0.213345865,yes,49.49,,,,,,,,,,,0.281368821,yes,,,12.92,-0.032136106,yes,,,14.9,0.183529412,yes,,,16.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.181978799,yes,,,23.31,,,,,,,,,,20.63,,,,,,,,8.52,,,,,,,,,,,,,,,,,,,40.08,,,,,,0,<2
S293,V0495,,,95.12,,,93.57,,,,,,,,,8.533333333,yes,94.04,,,7.094527363,yes,105.1,1.650190114,no,2.220588235,yes,16.52,,,3.879518072,yes,26.78,,,3.983193277,yes,26.18,,,,,,,1.720698254,no,29,1.617206983,no,28.17,2.033088235,no,40.99,2.25122549,no,42.77,1.066202091,no,25.88,1.214285714,no,26.73,1.287414966,no,1.661538462,yes,30.21,1.069727891,no,-0.307692308,yes,28.93,2.04770318,no,6.049382716,yes,35.93,2.090106007,no,6.345679012,yes,36.17,,,8.211864407,yes,45.41,,,,,46.49,2.248888889,no,22.01,8.658878505,yes,94.47,,,6.463917526,yes,74.23,1.773863636,no,35.33,2.038636364,no,37.66,1.344723618,no,-0.702479339,no,62.53,1.006030151,no,,,59.16,4,2-6
S286,V0469,,,97.83,,,99.34,,,,,,,1.555740433,no,,,86.12,,,8.825870647,yes,108.58,,,6.882352941,yes,19.69,,,,,,,,,,,,,,,,,2.244389027,no,33.2,1.775561097,no,29.44,,,46.45,,,45.51,1.385017422,no,27.71,1.113240418,no,26.15,,,13.73846154,yes,38.06,2.399659864,no,11.72307692,yes,36.75,,,10.85185185,yes,39.82,,,11.88888889,yes,40.66,,,,,54.27,,,,,55.02,2.188888889,no,21.74,12.24299065,yes,102.14,,,7.958762887,yes,77.13,2.209090909,no,39.16,2.067045455,no,37.91,1.601005025,no,0.351239669,no,65.08,1.871356784,no,1.462809917,no,67.77,10,6-12
S248,V0393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.01,,,,,,7.891752577,yes,77,,,46.82,,,44.66,,,3.70661157,no,73.2,,,2.925619835,no,71.31,9,6-12
S245,V0390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.45,0.106617647,yes,25.27,,,15.91,-0.217770035,yes,18.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.91,,,,,,,,,,,,,,,,,,,37.43,,,,,,0,<2
S227,V0297,,,,,,,,,,,,,,,,,,,,,,,-0.060836502,yes,,,12.02,-0.465028355,yes,,,12.61,-0.202352941,yes,,,15.09,0.01799775,yes,24.93,0.120359955,yes,25.84,-0.089775561,yes,14.48,-0.024937656,yes,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.85,,,,,,,,,,,,-0.153409091,yes,18.37,,,,,,,,,,33.39,0,<2
S215,V0250,,,93.46,,,95.3,,,,,,,1.580698835,no,,,86.57,,,8.820895522,no,108.57,,,6.014705882,yes,19.1,,,4.518072289,yes,27.31,,,5.168067227,yes,27.59,,,,,,,,,,,,,,,,,,43.71,0.970383275,no,25.33,0.817073171,no,24.45,1.346938776,no,2.2,yes,30.56,1.632653061,no,4.784615385,yes,32.24,1.881625442,no,4.888888889,yes,34.99,2.021201413,no,5.864197531,yes,35.78,,,,,49.47,,,,,49.21,1.804444444,no,20.01,7.887850467,yes,92.82,,,,,,,,,,,,,,,,,,,,,,4,2-6
S191,V0374,,,,-0.192513369,yes,47.63,,,,0.099154135,yes,47.06,,,,,,-0.175969726,yes,,,57.99,0.216730038,yes,,,12.75,-0.423440454,yes,,,12.83,-0.152941176,yes,,,15.3,-0.384701912,yes,21.35,-0.287964004,yes,22.21,-0.463840399,yes,11.48,-0.5,yes,11.19,-0.181372549,yes,22.92,-0.084558824,yes,23.71,-0.555749129,yes,16.57,-0.613240418,yes,16.24,-0.103741497,yes,,,22.03,,,,,,-0.247349823,yes,,,22.94,,,,,,,,,,23.15,,,,,22.48,-0.488888889,yes,9.69,,,,,,,,,,,,,,,,,,,37.75,,,,,36.52,0,<2
S190,V0310,0.706327986,yes,67.8,,,,0.722274436,yes,60.32,,,,,,,,,,,,,,1.174904943,yes,0.382352941,yes,15.27,0.894139887,yes,,,19.8,1.077647059,yes,,,20.53,,,,,,,1.201995012,yes,24.84,1.209476309,yes,24.9,0.870098039,yes,31.5,,,,0.484320557,yes,22.54,,,,0.840136054,yes,-2.384615385,yes,27.58,0.62755102,yes,-4.307692308,yes,26.33,1.526501767,no,2.407407407,yes,32.98,0.913427562,yes,-1.87654321,yes,29.51,1.101265823,yes,0.254237288,yes,36.02,1.164556962,yes,0.550847458,yes,36.37,0.773333333,yes,15.37,,,,0.831476323,yes,,,58.93,0.914772727,yes,27.77,0.880681818,yes,27.47,-0.322613065,yes,,,45.94,,,,,,0.4,<2
S181,V0407,,,8.95,,,89.09,,,,,,,1.833056018,no,5.752380952,yes,91.12,,,,,,1.296577947,no,0.852941176,yes,15.59,,,6.409638554,yes,28.88,,,3.210084034,yes,25.26,,,,,,,,,,,,,,,,1.854166667,no,39.53,,,,1.616724739,no,29.04,,,,,,,,,,,2.03180212,no,5.938271605,yes,35.84,,,,,,,,,,49.26,,,,,,1.684444444,no,19.47,,,,,,,,,,,,1.755681818,no,35.17,,,,,,0.826130653,no,,,57.37,4,2-6
S177,V0413,,,,,,,,,,,,,,,8.857142857,yes,94.38,,,,,,,,4.911764706,yes,18.35,,,8.21686747,no,30.38,,,4.966386555,yes,27.35,,,,,,,,,,,,,,,,,,,0.522648084,no,22.76,,,,0.921768707,no,-1.646153846,yes,28.06,0.880952381,no,-2.015384615,yes,27.82,1.918727915,no,5.148148148,yes,35.2,1.828621908,no,4.518518519,yes,34.69,,,,,48.76,,,,,47.45,2.104444444,no,21.36,4.542056075,yes,85.66,,,,,,1.785227273,no,35.43,,,,1.234170854,no,-1.157024793,yes,61.43,,,,,,3,2-6
S167,V0270,,,97.85,,,97.79,,,,,,,,,10.55238095,yes,96.16,,,7.925373134,yes,106.77,,,9.735294118,yes,21.63,,,,,,,,,,,,,,,,,1.906483791,no,30.49,1.706982544,no,28.89,,,51.3,,,51.94,1.231707317,no,26.83,1.06097561,no,25.85,2.403061224,no,11.75384615,yes,36.77,2.161564626,no,9.569230769,yes,35.35,,,11.33333333,yes,40.21,,,10.59259259,yes,39.61,,,,,58.41,,,,,57.33,,,27.38,,,,,,,,,,,,2.517045455,no,41.87,,,,,,,,4.541322314,no,75.22,12,6-12
S165,V0242,1.565508021,yes,87.08,,,,,,,,,,,,,,,,,,,,,,5.279411765,yes,18.6,,,2.265060241,yes,25.44,,,4.100840336,yes,26.32,,,,,,,,,,1.786783042,yes,29.53,1.976715686,yes,40.53,1.9375,yes,40.21,1.277003484,yes,27.09,0.641114983,no,23.44,1.018707483,yes,-0.769230769,yes,28.63,1.180272109,yes,0.692307692,yes,29.58,1.72614841,yes,3.802469136,yes,34.11,1.833922261,yes,4.555555556,yes,34.72,,,,,,,,,,,1.26,no,17.56,,,,,,,,,,,,1.348863636,no,31.59,,,,,,0.189949749,no,,,51.04,2,<2
S164,V0364,,,,,,,,,,,,,,,,,,,,,,,0.596958175,yes,,,13.75,0.124763705,yes,,,15.73,0.357647059,yes,,,17.47,,,,,,,,,,,,,,,,,,,-0.216027875,yes,18.52,-0.74912892,yes,15.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091111111,yes,12.3,,,,,,,,,,,15.37,,,16.76,,,,,38.6,,,,,34.54,0,<2
S152,V0244,,,,,,,,,,,,,0.267332224,yes,,,62.89,0.113528855,yes,,,64.11,1.201520913,no,0.485294118,yes,15.34,0.206049149,yes,,,16.16,0.712941176,yes,,,18.98,0.42519685,yes,28.55,0.390326209,yes,28.24,0.238154613,yes,17.11,0.034912718,yes,15.48,,,,0.18504902,yes,25.91,,,,-0.531358885,yes,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166666667,yes,12.64,,,,,,,,,,,,,,16.84,,,,,,,,,,40.46,0.2,<2
S142,V0289,,,,,,,,,,,,,,,,,,,,,,,1.041825095,yes,,,14.92,,,,,,0.957647059,yes,,,20.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,<2
S140,V0207,,,94.64,,,93.21,,,,,,,1.277870216,no,,,81.11,,,5.517412935,yes,101.93,,,5.808823529,yes,18.96,,,2.325301205,yes,25.49,,,3.43697479,yes,25.53,,,,,,,2.172069825,no,32.62,1.985037406,no,31.12,2.156862745,no,42,1.960784314,no,40.4,0.644599303,no,23.46,0.407665505,no,22.1,1.267006803,no,1.476923077,yes,30.09,1.634353741,no,4.8,yes,32.25,2.259717314,no,7.530864198,yes,37.13,2.469964664,no,9,yes,38.32,,,,,51.23,,,,,50.41,2.171111111,no,21.66,10.04672897,no,97.44,,,5.731958763,yes,72.81,1.771590909,no,35.31,1.834090909,no,35.86,1.564824121,no,0.202479339,no,64.72,1.547738693,no,0.132231405,no,64.55,5,2-6
S127,V0204,,,,0.645721925,no,66.44,,,,,,,0.267886855,yes,,,62.9,1.01986755,no,,,83.27,,,9.441176471,no,21.43,,,6.409638554,yes,28.88,,,5.008403361,yes,27.4,,,,,,,2.103491272,yes,32.07,2.41521197,yes,34.57,,,,,,46.8,1.696864111,yes,29.5,1.698606272,yes,29.51,1.370748299,yes,2.415384615,yes,30.7,1.035714286,yes,-0.615384615,yes,28.73,1.938162544,yes,5.283950617,yes,35.31,2.058303887,yes,6.12345679,yes,35.99,,,,,47.37,,,,,48.86,2.142222222,yes,21.53,,,,2.228412256,yes,3.74742268,yes,68.96,,,42.17,2.422727273,yes,41.04,1.490452261,yes,-0.103305785,yes,63.98,1.403015075,yes,-0.462809917,yes,63.11,2,<2
S104,V0136,,,93.09,,,90.77,,,,,,,1.936217415,no,7.523809524,yes,92.98,,,8.208955224,yes,107.34,,,5.970588235,yes,19.07,,,7.168674699,yes,29.51,,,6.697478992,yes,29.41,,,,,,,1.836658354,no,29.93,2.143391521,no,32.39,-0.334558824,no,21.67,,,20.94,,,,,,43.52,1.554421769,no,4.076923077,yes,31.78,1.528911565,no,3.846153846,yes,31.63,2.28975265,no,7.740740741,yes,37.3,2.107773852,no,6.469135802,yes,36.27,,,,,49.36,,,,,50.34,,,23.61,10.54672897,no,98.51,,,9.309278351,no,79.75,2.404545455,no,40.88,2.178409091,no,38.89,1.335678392,no,-0.739669421,no,62.44,1.369849246,no,-0.599173554,no,62.78,4,2-6
S089,V0091,1.60026738,no,87.86,,,92.4,,,,,,,1.905712701,no,7,yes,92.43,1.67218543,no,3.094527363,yes,97.06,,,,,,,,,,,,,,,,,,,,,,1.699501247,no,28.83,1.539900249,no,27.55,,,,,,,1.217770035,no,26.75,,,,1.571428571,no,4.230769231,yes,31.88,,,,,,1.464664311,no,1.975308642,yes,32.63,,,,,,0.023508137,no,,,30.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2-6
S082,V0084,0.143048128,yes,55.16,0.17513369,yes,55.88,0.003759398,yes,45.03,-0.003759398,yes,44.87,-0.194675541,yes,,,54.56,-0.212393567,yes,,,57.22,,,,,,,,,,,,,,,,0.05624297,yes,25.27,-0.067491564,yes,24.17,0.003740648,yes,15.23,-0.088528678,yes,14.49,0.409313725,yes,27.74,0.306372549,yes,26.9,0.386759582,yes,21.98,0.318815331,yes,21.59,,,,,,,,,,,0.075971731,yes,,,24.77,0.11130742,yes,,,24.97,-1.068716094,yes,,,24.02,,,,,22.36,0.022222222,yes,11.99,,,,,,,,,0.180681818,yes,21.31,0.306818182,yes,22.42,,,,,37.01,,,,,35.02,0.05,<2
S072,V0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.069741282,no,34.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<2
S058,V0092,,,,,,,,,,,,,,,,,,,,,,,1.711026616,yes,2.455882353,yes,16.68,1.29489603,yes,,,21.92,1.505882353,yes,,,22.35,,,,,,,0.74563591,yes,21.18,0.864089776,yes,22.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.877777778,yes,20.34,,,,,,,,,,,,,,,,,,,,,,,,,1.4,<2
S050,V0042,,,,-0.209001783,yes,47.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,<2
S046,V0023,,,98.4,,,,,,96.46,,,,,,,,,,,,,,,,7.602941176,no,20.18,,,3.13253012,yes,26.16,,,5.226890756,yes,27.66,,,,,,,,,,,,,1.099264706,no,33.37,,,,1.714285714,yes,29.6,,,,,,,,,,,,,,,,,,,2.068904594,yes,6.197530864,yes,36.05,0.372513562,no,,,31.99,0.023508137,no,,,30.06,1.942222222,yes,20.63,,,,,,,,,1.956818182,no,36.94,2.164772727,yes,38.77,,,,,,0.929648241,no,,,58.4,2,<2
S037,V0021,,,,,,,,,,,,,,,,,,-0.096972564,yes,,,59.66,0.27756654,yes,,,12.91,0.319470699,yes,,,16.76,0.261176471,yes,,,17.06,0.331833521,yes,27.72,0.349831271,yes,27.88,0.221945137,yes,16.98,0.551122195,yes,19.62,,,,,,,,,,,,,,,,,,,,,,,0.623674912,yes,,,27.87,0.519434629,yes,,,27.28,-1.021699819,no,,,24.28,,,,,19.83,,,8.17,,,,,,,,,,,16.88,-0.263636364,yes,17.4,-0.607035176,no,,,43.11,-0.539698492,yes,,,43.78,0.25,<2
S035,V0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.95,,,,,,6.329896907,yes,73.97,,,,2.109090909,yes,38.28,1.164824121,no,,,60.74,0.808040201,no,,,57.19,2,<2
S018,V0102,,,91.06,,,89.61,,,,,,,,,,,,,,,,,,,7.382352941,yes,20.03,,,,,,,,,,,,,,,,,,,,,,,0.117647059,no,25.36,,,,,,,,,,1.333333333,no,2.076923077,yes,30.48,,,,,,1.83745583,no,4.580246914,yes,34.74,,,,,,,,,,48.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6-12
